Entité administrative;Nombre d'indépendants;Hommes;Femmes;15-24 ans;25-49 ans;50-64 ans;65 ans et plus;Moins de 30 ans;55 ans et +;Indépendants (aidants non compris);Aidants;Actifs à titre principal;Actifs à titre complémentaire;Actifs après la pension;Annee
Namur;24297;16004;8293;601;14327;7698;1671;2268;6315;22746;1551;15986;6570;1741;2010
Philippeville;5392;3501;1891;138;3067;1797;390;448;1484;4971;421;3652;1340;400;2010
Nivelles;39425;26593;12832;816;22494;13300;2815;3023;10607;37719;1706;28529;7943;2953;2009
Ath;6729;4346;2383;158;3907;2181;483;557;1788;6057;672;4778;1455;496;2009
Charleroi;23753;15599;8154;739;13856;7537;1621;2466;6131;22271;1482;16061;6006;1686;2009
Mons;14581;9325;5256;364;8575;4723;919;1432;3802;13544;1037;10015;3608;958;2009
Mouscron;4489;2797;1692;135;2677;1362;315;488;1153;3900;589;3419;735;335;2009
Soignies;12299;8000;4299;354;7320;3833;792;1181;3067;11308;991;8394;3079;826;2009
Thuin;11272;7307;3965;293;6461;3768;750;997;3033;10362;910;7908;2588;776;2009
Tournai;11046;7206;3840;283;6361;3640;762;972;3005;9816;1230;8033;2234;779;2009
Huy;8548;5731;2817;214;4987;2837;510;732;2187;7926;622;5848;2146;554;2009
Liège;38674;25627;13047;1064;22294;12485;2831;3919;10241;36410;2264;26237;9385;3052;2009
Verviers;23089;15694;7395;617;13101;7454;1917;2109;6321;21244;1845;16006;5056;2027;2009
Waremme;6182;4140;2042;148;3568;2050;416;518;1662;5718;464;4205;1530;447;2009
Arlon;2688;1619;1069;116;1478;892;202;297;722;2465;223;1936;553;199;2009
Bastogne;4672;3167;1505;156;2493;1538;485;429;1391;4228;444;3103;1080;489;2009
Marche-en-Famenne;5651;3843;1808;201;3140;1859;451;581;1503;5127;524;3792;1395;464;2009
Neufchâteau;6289;4344;1945;161;3457;2095;576;559;1836;5723;566;4010;1683;596;2009
Virton;3429;2246;1183;85;1845;1212;287;289;1015;3175;254;2366;766;297;2009
Dinant;9814;6620;3194;309;5617;3185;703;950;2606;8927;887;6753;2317;744;2009
Namur;23854;15771;8083;591;14373;7362;1528;2310;5989;22237;1617;15807;6393;1654;2009
Philippeville;5302;3473;1829;124;3088;1729;361;435;1410;4859;443;3644;1274;384;2009
Nivelles;38886;26284;12602;811;22619;12812;2644;3070;10185;37026;1860;28357;7722;2807;2008
Ath;6663;4312;2351;160;3934;2103;466;560;1718;5924;739;4776;1400;487;2008
Charleroi;23712;15647;8065;740;14013;7438;1521;2527;5925;22126;1586;16130;5980;1602;2008
Mons;14486;9286;5200;388;8588;4639;871;1442;3668;13374;1112;10024;3556;906;2008
Mouscron;4441;2787;1654;123;2691;1337;290;456;1108;3800;641;3429;702;310;2008
Soignies;12187;7932;4255;341;7347;3732;767;1158;2985;11089;1098;8392;2997;798;2008
Thuin;11172;7285;3887;284;6525;3661;702;981;2910;10179;993;7914;2515;743;2008
Tournai;10960;7180;3780;286;6402;3533;739;996;2896;9638;1322;8053;2144;763;2008
Huy;8475;5677;2798;207;5025;2734;509;732;2115;7810;665;5853;2078;544;2008
Liège;38435;25606;12829;1039;22475;12168;2753;3980;9936;36019;2416;26250;9222;2963;2008
Verviers;23091;15723;7368;644;13325;7247;1875;2173;6139;21022;2069;16190;4917;1984;2008
Waremme;6071;4079;1992;149;3534;1978;410;523;1585;5595;476;4160;1483;428;2008
Arlon;2687;1640;1047;110;1509;855;213;299;702;2442;245;1939;542;206;2008
Bastogne;4667;3183;1484;153;2546;1498;470;427;1344;4198;469;3126;1058;483;2008
Marche-en-Famenne;5622;3844;1778;195;3200;1770;457;570;1464;5065;557;3790;1357;475;2008
Neufchâteau;6299;4366;1933;179;3493;2053;574;567;1811;5691;608;4043;1666;590;2008
Virton;3422;2232;1190;99;1876;1161;286;324;971;3144;278;2371;756;295;2008
Dinant;9755;6636;3119;294;5645;3124;692;943;2532;8840;915;6726;2284;745;2008
Namur;23506;15648;7858;586;14272;7158;1490;2296;5827;21806;1700;15668;6208;1630;2008
Philippeville;5262;3457;1805;129;3069;1703;361;414;1392;4795;467;3631;1246;385;2008
Nivelles;37845;25721;12124;705;22046;12528;2566;2851;10013;35939;1906;27864;7330;2651;2007
Ath;6476;4204;2272;141;3840;2029;466;558;1667;5717;759;4686;1315;475;2007
Charleroi;23003;15197;7806;688;13579;7224;1512;2320;5798;21367;1636;15802;5651;1550;2007
Mons;14610;9397;5213;324;8685;4711;890;1419;3700;13423;1187;10261;3439;910;2007
